OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,8354,1619,9296,4410,2989,9261,3155,9704,3444,159
-,49,0,0,0,0,0,0,0,0,0
+,5140,9482,2691,8702,3003,5843,6529,1986,3329,3267
+,419,6824,2661,1749,9745,5280,6116,1448,1799,1889
+,9862,8996,1845,5998,4359,2520,8446,5009,3445,1718
+,9054,3823,8912,7065,1496,1920,3491,2266,8015,6450
+,7534,7969,3058,396,6928,7152,997,3557,3521,9023
+,7007,505,1344,3997,4989,1228,4301,9407,7213,7717
+,5156,4228,8310,448,6085,139,1578,7621,7646,5350
+,7696,6128,1423,5085,110,6200,8887,2947,8371,1347
+,4900,4304,9469,8132,7217,1970,7779,2725,9095,3940
-,298,0,0,0,0,0,0,0,0,0
+,8551,287,3050,4062,6490,744,4151,1151,9654,9764
+,2888,7941,1137,6804,5073,4280,3650,8705,4934,2829
-,357,0,0,0,0,0,0,0,0,0
+,1865,8881,9964,6710,6942,6430,4392,288,1157,6652
+,2523,6810,7535,2443,3314,5926,9026,5340,8349,3489
+,68,4725,5808,9420,3921,4738,3893,6276,868,5583
+,7105,6346,2884,292,9062,7510,6970,1424,3536,5887
+,9112,8160,2450,6448,7807,8315,5845,4239,8658,5956
+,7910,9610,4451,1660,9098,4857,343,8921,5784,5100
+,9316,1232,6303,8960,8332,8317,1915,1442,3288,5898
+,1555,1986,5506,5426,9428,8548,9871,3207,2061,9887
+,3315,1069,3923,658,6013,7298,2813,9880,1150,5958
+,4438,9684,129,5366,5190,2718,7721,2060,4326,2250
+,2164,6527,1665,6177,1518,2778,1402,9589,7884,8348
+,7469,3388,7326,1138,8349,3683,8094,4466,2701,8775
+,6869,33,2476,5851,871,9265,936,1382,7803,1872
+,9268,2533,1501,9392,8907,2770,4248,7580,3673,2556
+,826,8779,7871,2105,1413,7870,9991,5917,1048,475
+,7116,7065,54,859,5524,2745,4092,7687,3307,9784
+,2991,2051,3117,2779,1408,5146,6735,8861,427,3168
+,3190,2462,6482,8922,6626,2795,6984,7086,6295,2891
+,5253,2253,4459,2324,5943,892,8649,1114,6404,1787
+,8749,837,7519,8537,8727,5285,5433,4858,9028,7315
+,8336,7339,9389,5191,2100,380,6118,6642,8120,5374
+,1120,796,6536,3438,2393,937,4535,7706,2564,892
+,4014,3256,2575,912,2299,3114,1643,8523,502,8926
